king_kor,king_eng,city_ID_t,city_kor_t,city_eng_t,city_color_t,long_t,lat_t,city_ID_s,city_kor_s,city_eng_s,city_color_s,long_s,lat_s,count
경종,Gyeongjong,10,합주,Hapju,#F31788,128.10602,35.546972,10,합주,Hapju,#F31788,128.10602,35.546972,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,11,광주,Gwangju,#1732F3,127.271336,37.404627,6
경종,Gyeongjong,11,광주,Gwangju,#1732F3,127.271336,37.404627,11,광주,Gwangju,#1732F3,127.271336,37.404627,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,12,승주,Seungju,#F31746,127.400603,35.026826,7
경종,Gyeongjong,12,승주,Seungju,#F31746,127.400603,35.026826,12,승주,Seungju,#F31746,127.400603,35.026826,3
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,13,춘주,Chunju,#DECB69,127.754494,37.873067,2
경종,Gyeongjong,13,춘주,Chunju,#DECB69,127.754494,37.873067,13,춘주,Chunju,#DECB69,127.754494,37.873067,1
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,14,동주,Dongju,#69DEC2,126.16976,38.426495,3
경종,Gyeongjong,14,동주,Dongju,#69DEC2,126.16976,38.426495,14,동주,Dongju,#69DEC2,126.16976,38.426495,2
경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,126.619833,37.952269,16,신주,Sinju,#69DEA7,125.48408,38.357103,2
경종,Gyeongjong,16,신주,Sinju,#69DEA7,125.48408,38.357103,16,신주,Sinju,#69DEA7,125.48408,38.357103,1
