measureType,king_kor,king_eng,city_ID,city_kor,city_eng,city_color,score,long,lat
degree,정종,Jeongjong,16,신주,Sinju,#69DEA7,0.05195,125.48408,38.357103
degree,정종,Jeongjong,17,의성,Uiseong,#F33F17,0.11688,128.64861,36.292603
degree,정종,Jeongjong,18,해평,Haepyeong,#F37417,0.05195,128.419557,36.239348
degree,정종,Jeongjong,19,청주,Cheongju,#9C17F3,0.45455,127.509353,36.652229
degree,정종,Jeongjong,20,상주,Sangju,#AD17F3,0.20779,128.166729,36.412928
degree,정종,Jeongjong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
degree,정종,Jeongjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
degree,정종,Jeongjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
degree,정종,Jeongjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
degree,정종,Jeongjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
degree,정종,Jeongjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
degree,광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,1.58025,126.619833,37.952269
degree,광종,Gwangjong,1,정주,Jeongju,#70C459,0.09877,125.206375,39.68846
degree,광종,Gwangjong,2,나주,Naju,#F31735,0.65432,126.718034,34.987771
degree,광종,Gwangjong,3,충주,Chungju,#7117F3,0.49383,127.898682,36.985383
degree,광종,Gwangjong,4,황주,Hwangju,#69DE82,0.30864,125.77577,38.669308
degree,광종,Gwangjong,5,경주,Gyeongju,#F32817,0.28395,129.220572,35.833987
degree,광종,Gwangjong,6,명주,Myeongju,#DEC069,0.09877,128.896978,37.788721
degree,광종,Gwangjong,7,평주,Pyeongju,#69DCDE,0.35802,126.408036,38.329214
degree,광종,Gwangjong,8,진주,Jinju,#F31764,0.40741,128.081181,35.191929
degree,광종,Gwangjong,9,홍주,Hongju,#7E17F3,0.04938,126.654899,36.621606
degree,광종,Gwangjong,10,합주,Hapju,#F31788,0.04938,128.10602,35.546972
degree,광종,Gwangjong,11,광주,Gwangju,#1732F3,0.22222,127.271336,37.404627
degree,광종,Gwangjong,12,승주,Seungju,#F31746,0.30864,127.400603,35.026826
degree,광종,Gwangjong,13,춘주,Chunju,#DECB69,0.04938,127.754494,37.873067
degree,광종,Gwangjong,14,동주,Dongju,#69DEC2,0.08642,126.16976,38.426495
degree,광종,Gwangjong,15,불명,unknown,#AAACB9,0.11111,0,0
degree,광종,Gwangjong,16,신주,Sinju,#69DEA7,0.04938,125.48408,38.357103
degree,광종,Gwangjong,17,의성,Uiseong,#F33F17,0.11111,128.64861,36.292603
degree,광종,Gwangjong,18,해평,Haepyeong,#F37417,0.04938,128.419557,36.239348
degree,광종,Gwangjong,19,청주,Cheongju,#9C17F3,0.4321,127.509353,36.652229
degree,광종,Gwangjong,20,상주,Sangju,#AD17F3,0.19753,128.166729,36.412928
degree,광종,Gwangjong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
degree,광종,Gwangjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
degree,광종,Gwangjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
degree,광종,Gwangjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
