name,id,group,Sales,Attendance ,Screen,Nomal_Attendance,Happy,Surprise,Boring,Sad,Anger,Disgust,Fear
The Restless,518,action,8581442100,1421412,402,3535.850746,0.25,0.27,0.11,0.21,0.11,0.05,0.01
Happy Life,519,drama,7874566500,1202719,322,3735.152174,0.52,0.29,0.06,0.08,0.02,0,0.01
The Day The Earth Stood Still,520,sf,10395192543,1576333,469,3361.051173,0.18,0.1,0.16,0.32,0.15,0.07,0.02
Be With You,521,drama,1036156500,166295,120,1385.791667,0.11,0.61,0.05,0.19,0.02,0.01,0.01
Love Now,522,drama,7004658500,1042955,291,3584.037801,0.39,0.29,0.11,0.11,0.05,0.03,0.03
G.I.Joe : Retaliation,523,action,14457048500,1855917,766,2422.868146,0.39,0.18,0.12,0.15,0.09,0.04,0.03
G.I.Joe : The Rise Of Cobra,524,action,19889126096,2706748,446,6068.941704,0.46,0.18,0.1,0.11,0.09,0.04,0.03
The City Of Violence,525,action,6585376300,1021638,210,4864.942857,0.41,0.22,0.05,0.12,0.09,0.09,0.02
Petty Romance,526,comedy,15901620661,2080574,463,4493.680346,0.52,0.3,0.07,0.06,0.02,0.01,0.01
Chaw,527,action,12676951144,1799356,397,4532.382872,0.4,0.12,0.04,0.09,0.04,0.02,0.29
Charlie And The Chocolate Factory,528,comedy,7831016503,1282348,134,9569.761194,0.51,0.24,0.07,0.09,0.03,0.03,0.03
CHAMP,529,drama,3850214500,534752,288,1856.777778,0.19,0.47,0.1,0.19,0.02,0,0.01
Postman to Heaven,530,meloromance,644989646,96137,118,814.720339,0.33,0.5,0.06,0.08,0.02,0.01,0.01
Heaven's Soldiers,531,action,5852391000,933147,186,5016.919355,0.37,0.26,0.08,0.15,0.08,0.05,0.02
"Yobi, The Five Tailed Fox",532,fantasy,2496355500,460925,117,3939.529915,0.28,0.38,0.05,0.19,0.09,0.01,0.01
Angels&Demons,533,mystery,12734649711,1936321,558,3470.109319,0.22,0.35,0.13,0.09,0.05,0.01,0.15
Like A Virgin,534,drama,3552450700,575373,172,3345.19186,0.52,0.23,0.07,0.09,0.05,0.02,0
50 First Dates,535,comedy,1199579500,182614,37,4935.513514,0.35,0.51,0.04,0.08,0.01,0,0.01
Fortune Salon,536,meloromance,9687687439,1321005,404,3269.814356,0.48,0.13,0.14,0.15,0.07,0.03,0.01
Hear Me,537,meloromance,112668948,15116,20,755.8,0.23,0.62,0.08,0.05,0.02,0,0
Blue Swallow,538,drama,3106648400,496003,164,3024.408537,0.23,0.36,0.06,0.24,0.06,0.03,0.02
Almost Love,539,comedy,9785168000,1567514,298,5260.114094,0.35,0.28,0.14,0.17,0.04,0.02,0.01
Changeling,540,drama,3581346406,522667,167,3129.742515,0.14,0.29,0.19,0.18,0.08,0.04,0.09
Officer of the Year,541,comedy,6413325500,870887,407,2139.771499,0.51,0.16,0.11,0.1,0.05,0.03,0.04
Haunters,542,sf,15618440958,2164805,622,3480.393891,0.33,0.16,0.07,0.17,0.09,0.06,0.12
The Perfect Couple,543,meloromance,6931136500,1190703,253,4706.335968,0.61,0.14,0.07,0.09,0.04,0.03,0.01
War of the Arrows,544,historicaldrama,55827861500,7470633,615,12147.37073,0.32,0.21,0.08,0.1,0.04,0.03,0.22
Sympathy ForLady Vengeance,545,thriller,20483998393,3119807,386,8082.401554,0.23,0.18,0.06,0.16,0.24,0.1,0.04
A Long Visit,546,drama,3367901082,478822,276,1734.862319,0.08,0.32,0.12,0.43,0.02,0.01,0.01
Cars,547,action,3283728000,573577,211,2718.374408,0.42,0.36,0.08,0.08,0.02,0.02,0.02
Copying Beethoven,548,drama,1756347000,275211,146,1885.006849,0.13,0.49,0.08,0.16,0.04,0.01,0.1
Pirates Of The Caribbean : On Stranger Tides,549,action,27279967500,3130046,960,3260.464583,0.43,0.21,0.12,0.15,0.05,0.01,0.03
Pirates Of The Caribbean : Dead Man's Chest,550,action,23832939000,4628903,456,10151.10307,0.54,0.19,0.08,0.11,0.04,0.01,0.04
Pirates Of The Caribbean : At World's End,551,action,29133447500,4571229,953,4796.672613,0.39,0.21,0.16,0.15,0.05,0.02,0.03
COUPLES,552,meloromance,2705566500,360045,387,930.3488372,0.53,0.24,0.12,0.07,0.02,0.01,0.01
The Conjuring,553,horror,16353225777,2262758,553,4091.786618,0.06,0.1,0.04,0.16,0.02,0.02,0.61
Chorists,554,drama,630619000,105920,106,999.245283,0.2,0.6,0.05,0.09,0.03,0.01,0.03
As One,555,drama,13448848500,1872681,537,3487.301676,0.19,0.45,0.12,0.18,0.03,0.01,0.02
Constantine,556,drama,11164582000,1736163,177,9808.830508,0.45,0.21,0.07,0.11,0.08,0.02,0.06
Kung Fu Panda,557,comedy,30000965000,4673009,351,13313.41595,0.6,0.22,0.06,0.07,0.03,0.01,0.01
Kung Fu Panda2,558,action,44298724500,5062722,948,5340.424051,0.56,0.22,0.07,0.1,0.03,0.01,0.02
Kung Fu Hustle,559,comedy,5309283000,823559,148,5564.587838,0.55,0.2,0.06,0.11,0.03,0.03,0.01
The Quiz Show Scandal,560,comedy,4258992759,583183,323,1805.520124,0.44,0.1,0.11,0.21,0.08,0.05,0.01
